GameId,Year,Round,Date,HomeTeam,AwayTeam,HomeTeamScoreFT,AwayTeamScoreFT,Venue,Attendance,MaxTemp,MinTemp,Rainfall
2012R0101,2012,R1,2012-03-24,Greater Western Sydney,Sydney,5.7,14.16,Stadium Australia,"38,203",24.0,12.2,0.0
2012R0102,2012,R1,2012-03-29,Richmond,Carlton,12.9,18.17,M.C.G.,"78,285",25.7,9.7,0.0
2012R0103,2012,R1,2012-03-30,Hawthorn,Collingwood,20.17,16.19,M.C.G.,"78,466",27.4,9.7,0.0
2012R0104,2012,R1,2012-03-31,Melbourne,Brisbane Lions,11.12,17.17,M.C.G.,"33,473",29.1,15.1,0.6
2012R0105,2012,R1,2012-03-31,Gold Coast,Adelaide,10.8,19.23,Carrara,"12,790",28.2,19.7,0.0
2012R0106,2012,R1,2012-03-31,Fremantle,Geelong,16.9,15.11,Subiaco,"34,601",24.0,9.0,0.0
2012R0107,2012,R1,2012-03-31,North Melbourne,Essendon,15.12,14.2,Docklands,"45,818",29.1,15.1,0.6
2012R0108,2012,R1,2012-04-01,Western Bulldogs,West Coast,12.15,21.1,Docklands,"24,977",20.4,14.3,0.0
2012R0109,2012,R1,2012-04-01,Port Adelaide,St Kilda,13.11,13.7,Football Park,"21,179",24.3,11.8,0.0
2012R0201,2012,R2,2012-04-05,Brisbane Lions,Carlton,9.9,23.16,Gabba,"25,913",28.4,17.9,0.0
2012R0202,2012,R2,2012-04-07,Essendon,Port Adelaide,16.15,13.8,Docklands,"34,118",19.8,9.0,3.6
2012R0203,2012,R2,2012-04-07,Sydney,Fremantle,14.1,12.9,S.C.G.,"22,242",27.4,18.2,0.0
2012R0204,2012,R2,2012-04-07,West Coast,Melbourne,25.16,9.4,Subiaco,"35,674",29.9,11.5,0.0
2012R0205,2012,R2,2012-04-07,Adelaide,Western Bulldogs,11.16,9.1,Football Park,"34,021",19.8,13.9,0.0
2012R0206,2012,R2,2012-04-07,Collingwood,Richmond,12.13,8.16,M.C.G.,"57,268",19.8,9.0,3.6
2012R0207,2012,R2,2012-04-08,North Melbourne,Greater Western Sydney,28.15,8.6,Bellerive Oval,"11,127",18.4,8.9,0.4
2012R0208,2012,R2,2012-04-08,St Kilda,Gold Coast,21.13,7.5,Docklands,"21,078",20.0,6.9,0.0
2012R0209,2012,R2,2012-04-09,Geelong,Hawthorn,14.8,13.12,M.C.G.,"69,231",15.2,10.1,1.4
2012R0301,2012,R3,2012-04-13,Carlton,Collingwood,18.14,9.8,M.C.G.,"84,259",24.8,8.0,0.4
2012R0302,2012,R3,2012-04-14,Richmond,Melbourne,20.13,11.8,M.C.G.,"49,826",24.8,13.1,0.0
2012R0303,2012,R3,2012-04-14,Port Adelaide,Sydney,12.11,16.9,Football Park,"19,032",27.9,10.8,0.0
2012R0304,2012,R3,2012-04-14,Fremantle,Brisbane Lions,8.16,5.5,Subiaco,"33,473",26.0,11.8,0.0
2012R0305,2012,R3,2012-04-14,Gold Coast,Essendon,13.1,15.15,Carrara,"17,069",25.2,18.3,9.2
2012R0306,2012,R3,2012-04-14,Western Bulldogs,St Kilda,5.1,15.13,Docklands,"28,971",24.8,13.1,0.0
2012R0307,2012,R3,2012-04-15,Greater Western Sydney,West Coast,10.9,23.12,Blacktown,"6,875",26.9,16.0,0.0
2012R0308,2012,R3,2012-04-15,Hawthorn,Adelaide,21.14,12.12,M.C.G.,"33,524",26.7,15.6,0.0
2012R0309,2012,R3,2012-04-15,North Melbourne,Geelong,20.11,16.18,Docklands,"29,630",26.7,15.6,0.0
2012R0401,2012,R4,2012-04-20,St Kilda,Fremantle,11.13,14.8,Docklands,"30,172",22.1,11.8,2.4
2012R0402,2012,R4,2012-04-21,Carlton,Essendon,11.13,15.19,M.C.G.,"73,172",24.0,13.3,2.6
2012R0403,2012,R4,2012-04-21,Collingwood,Port Adelaide,14.13,10.13,Docklands,"30,741",24.0,13.3,2.6
2012R0404,2012,R4,2012-04-21,Adelaide,Greater Western Sydney,13.18,7.8,Football Park,"28,261",21.5,18.8,0.0
2012R0405,2012,R4,2012-04-21,West Coast,Hawthorn,5.21,5.16,Subiaco,"40,080",21.9,9.2,0.0
2012R0406,2012,R4,2012-04-21,Brisbane Lions,Gold Coast,17.9,6.1,Gabba,"21,980",29.9,18.1,0.0
2012R0407,2012,R4,2012-04-22,Geelong,Richmond,11.9,9.11,Kardinia Park,"21,952",23.2,14.5,7.2
2012R0408,2012,R4,2012-04-22,Sydney,North Melbourne,17.11,10.17,S.C.G.,"21,049",25.2,16.3,0.0
2012R0409,2012,R4,2012-04-22,Melbourne,Western Bulldogs,9.13,13.1,M.C.G.,"33,565",23.7,13.5,1.4
2012R0501,2012,R5,2012-04-25,Collingwood,Essendon,11.14,11.13,M.C.G.,"86,932",15.2,8.7,19.0
2012R0502,2012,R5,2012-04-27,Fremantle,Carlton,7.15,10.5,Subiaco,"38,847",29.5,17.6,0.0
2012R0503,2012,R5,2012-04-28,Greater Western Sydney,Western Bulldogs,9.8,15.14,Manuka Oval,"9,128",19.4,3.9,0.0
2012R0504,2012,R5,2012-04-28,North Melbourne,Gold Coast,17.25,13.15,Docklands,"17,680",21.5,8.2,0.0
2012R0505,2012,R5,2012-04-28,Melbourne,St Kilda,10.6,12.12,M.C.G.,"24,877",21.5,8.2,0.0
2012R0506,2012,R5,2012-04-28,Brisbane Lions,Geelong,4.17,12.7,Gabba,"15,534",21.2,16.1,38.4
2012R0507,2012,R5,2012-04-29,Hawthorn,Sydney,10.9,16.1,York Park,"19,217",15.6,2.1,0.0
2012R0508,2012,R5,2012-04-29,Richmond,West Coast,14.13,16.11,Docklands,"28,464",16.0,8.6,1.6
2012R0509,2012,R5,2012-04-29,Adelaide,Port Adelaide,16.14,14.7,Football Park,"41,649",19.0,7.8,0.0
2012R0601,2012,R6,2012-05-04,Western Bulldogs,Collingwood,11.11,15.8,Docklands,"38,155",16.7,9.8,4.0
2012R0602,2012,R6,2012-05-05,Essendon,Brisbane Lions,19.15,9.8,Docklands,"36,361",13.3,7.4,0.0
2012R0603,2012,R6,2012-05-05,Geelong,Melbourne,17.17,11.1,Kardinia Park,"18,010",15.5,8.6,0.0
2012R0604,2012,R6,2012-05-05,Gold Coast,Fremantle,14.3,14.1,Carrara,"11,670",23.3,14.9,0.0
2012R0605,2012,R6,2012-05-05,Sydney,Adelaide,14.1,15.9,S.C.G.,"23,969",18.9,11.4,0.0
2012R0606,2012,R6,2012-05-05,St Kilda,Hawthorn,13.1,18.15,M.C.G.,"42,290",13.3,7.4,0.0
2012R0607,2012,R6,2012-05-06,Carlton,Greater Western Sydney,15.2,6.7,Docklands,"28,213",15.6,8.9,1.6
2012R0608,2012,R6,2012-05-06,Port Adelaide,Richmond,8.6,13.13,Football Park,"18,522",18.5,11.4,0.0
2012R0609,2012,R6,2012-05-06,West Coast,North Melbourne,17.18,15.5,Subiaco,"37,202",20.5,14.8,10.4
2012R0701,2012,R7,2012-05-11,Melbourne,Hawthorn,6.13,15.25,M.C.G.,"36,430",17.0,9.4,1.8
2012R0702,2012,R7,2012-05-12,Adelaide,Geelong,19.8,10.12,Football Park,"35,535",17.0,6.8,0.0
2012R0703,2012,R7,2012-05-12,Greater Western Sydney,Gold Coast,13.16,9.13,Manuka Oval,"8,603",14.4,0.1,0.0
2012R0704,2012,R7,2012-05-12,Richmond,Sydney,13.13,8.14,M.C.G.,"40,352",15.5,7.1,0.2
2012R0705,2012,R7,2012-05-12,Brisbane Lions,Collingwood,8.1,17.14,Gabba,"27,926",27.2,13.4,0.0
2012R0706,2012,R7,2012-05-12,Essendon,West Coast,16.17,7.1,Docklands,"43,260",15.5,7.1,0.2
2012R0707,2012,R7,2012-05-13,North Melbourne,Western Bulldogs,12.11,15.11,Docklands,"20,885",13.2,9.1,3.6
2012R0708,2012,R7,2012-05-13,Fremantle,Port Adelaide,12.15,7.5,Subiaco,"30,079",22.9,11.4,0.0
2012R0709,2012,R7,2012-05-14,St Kilda,Carlton,19.8,14.14,Docklands,"38,823",15.8,6.8,6.2
2012R0801,2012,R8,2012-05-18,Collingwood,Geelong,14.12,11.18,M.C.G.,"75,650",17.2,8.8,0.0
2012R0802,2012,R8,2012-05-19,Port Adelaide,North Melbourne,14.11,14.9,Football Park,"14,508",17.0,8.3,3.0
2012R0803,2012,R8,2012-05-19,Hawthorn,Fremantle,17.17,9.9,York Park,"12,959",16.1,6.2,3.2
2012R0804,2012,R8,2012-05-19,Sydney,Melbourne,21.12,5.7,S.C.G.,"20,818",22.2,10.2,2.0
2012R0805,2012,R8,2012-05-19,Western Bulldogs,Gold Coast,9.18,4.1,Marrara Oval,"8,724",32.1,19.8,0.0
2012R0806,2012,R8,2012-05-19,Essendon,Richmond,19.14,15.19,M.C.G.,"80,900",14.4,10.5,1.8
2012R0807,2012,R8,2012-05-20,Brisbane Lions,Greater Western Sydney,19.18,5.1,Gabba,"16,049",24.0,11.3,0.0
2012R0808,2012,R8,2012-05-20,Carlton,Adelaide,8.7,19.1,Docklands,"35,917",15.2,4.8,0.2
2012R0809,2012,R8,2012-05-20,West Coast,St Kilda,18.13,13.13,Subiaco,"38,174",26.5,9.2,0.0
2012R0901,2012,R9,2012-05-25,Western Bulldogs,Geelong,11.9,14.11,Docklands,"29,118",10.8,8.4,4.0
2012R0902,2012,R9,2012-05-26,Richmond,Hawthorn,21.11,10.15,M.C.G.,"51,617",16.0,7.6,28.0
2012R0903,2012,R9,2012-05-26,Gold Coast,Port Adelaide,10.1,17.16,Carrara,"12,416",21.0,11.4,8.2
2012R0904,2012,R9,2012-05-26,St Kilda,Sydney,16.15,12.11,Docklands,"34,737",16.0,7.6,28.0
2012R0905,2012,R9,2012-05-26,Adelaide,Collingwood,6.13,10.15,Football Park,"44,238",16.9,11.1,7.2
2012R0906,2012,R9,2012-05-26,Greater Western Sydney,Essendon,7.11,18.11,Sydney Showground,"11,887",17.4,7.7,0.2
2012R0907,2012,R9,2012-05-27,North Melbourne,Brisbane Lions,17.1,15.6,Docklands,"19,988",14.5,8.8,4.6
2012R0908,2012,R9,2012-05-27,Carlton,Melbourne,15.17,6.13,M.C.G.,"28,371",14.5,8.8,4.6
2012R0909,2012,R9,2012-05-27,West Coast,Fremantle,11.18,5.6,Subiaco,"40,905",24.5,6.2,0.0
2012R1001,2012,R10,2012-06-01,St Kilda,Richmond,16.17,18.13,Docklands,"49,337",16.1,3.1,0.0
2012R1002,2012,R10,2012-06-02,Geelong,Greater Western Sydney,19.12,9.7,Kardinia Park,"17,243",16.2,3.8,0.0
2012R1003,2012,R10,2012-06-02,Hawthorn,North Melbourne,27.12,9.5,York Park,"16,143",12.7,4.5,0.0
2012R1004,2012,R10,2012-06-02,Fremantle,Adelaide,12.1,17.9,Subiaco,"31,392",20.6,7.4,0.0
2012R1005,2012,R10,2012-06-02,Port Adelaide,Carlton,14.15,6.9,Football Park,"24,746",19.1,9.8,0.0
2012R1006,2012,R10,2012-06-02,Essendon,Melbourne,6.16,8.1,M.C.G.,"42,987",15.4,2.1,0.0
2012R1007,2012,R10,2012-06-03,Brisbane Lions,West Coast,16.6,15.1,Gabba,"15,546",22.9,16.4,26.4
2012R1008,2012,R10,2012-06-03,Sydney,Western Bulldogs,20.12,5.1,S.C.G.,"13,505",15.7,14.0,28.7
2012R1009,2012,R10,2012-06-03,Collingwood,Gold Coast,23.11,7.1,M.C.G.,"36,913",13.3,5.6,0.8
2012R1101,2012,R11,2012-06-08,Carlton,Geelong,11.19,14.13,Docklands,"47,632",13.1,8.1,0.0
