gameid,year,round,date,hometeam,awayteam,hometeamscoreft,awayteamscoreft,venue,attendance,maxtemp,mintemp,rainfall
2017R0101,2017,R1,2017-03-23,Carlton,Richmond,14.5,20.12,M.C.G.,73137.0,25.8,15.0,0.0
2017R0102,2017,R1,2017-03-24,Collingwood,Western Bulldogs,12.14,15.1,M.C.G.,66254.0,25.7,11.7,0.0
2017R0103,2017,R1,2017-03-25,St Kilda,Melbourne,13.12,18.12,Docklands,36249.0,30.3,14.5,0.0
2017R0104,2017,R1,2017-03-25,Sydney,Port Adelaide,12.1,17.8,S.C.G.,33129.0,26.5,19.1,4.6
2017R0105,2017,R1,2017-03-25,Essendon,Hawthorn,17.14,12.19,M.C.G.,78294.0,30.3,14.5,0.0
2017R0106,2017,R1,2017-03-25,Gold Coast,Brisbane Lions,14.12,15.8,Carrara,12710.0,27.7,21.4,6.6
2017R0107,2017,R1,2017-03-26,North Melbourne,West Coast,13.15,21.1,Docklands,21997.0,26.2,18.2,0.0
2017R0108,2017,R1,2017-03-26,Adelaide,Greater Western Sydney,22.15,14.7,Adelaide Oval,43993.0,33.9,20.4,0.0
2017R0109,2017,R1,2017-03-26,Fremantle,Geelong,10.13,18.7,Subiaco,34638.0,22.4,16.6,2.2
2017R0201,2017,R2,2017-03-30,Richmond,Collingwood,14.15,11.14,M.C.G.,58236.0,18.6,8.3,2.8
2017R0202,2017,R2,2017-03-31,Western Bulldogs,Sydney,16.14,13.9,Docklands,42834.0,18.4,9.6,2.8
2017R0203,2017,R2,2017-04-01,Hawthorn,Adelaide,13.11,16.17,M.C.G.,37420.0,19.1,8.6,0.0
2017R0204,2017,R2,2017-04-01,Greater Western Sydney,Gold Coast,24.16,8.1,Sydney Showground,8022.0,26.1,12.6,0.0
2017R0205,2017,R2,2017-04-01,Brisbane Lions,Essendon,12.12,17.9,Gabba,21749.0,29.0,20.0,0.2
2017R0206,2017,R2,2017-04-01,West Coast,St Kilda,18.8,13.19,Subiaco,37749.0,30.1,14.9,0.0
2017R0207,2017,R2,2017-04-02,Geelong,North Melbourne,17.1,17.9,Docklands,30917.0,18.7,11.5,0.2
2017R0208,2017,R2,2017-04-02,Melbourne,Carlton,13.8,9.1,M.C.G.,46727.0,18.7,11.5,0.2
2017R0209,2017,R2,2017-04-02,Port Adelaide,Fremantle,22.13,8.8,Adelaide Oval,38388.0,21.3,12.9,0.0
2017R0301,2017,R3,2017-04-07,Sydney,Collingwood,11.13,11.14,S.C.G.,35310.0,24.2,14.3,0.0
2017R0302,2017,R3,2017-04-08,North Melbourne,Greater Western Sydney,10.7,15.19,Bellerive Oval,8758.0,25.0,14.6,0.0
2017R0303,2017,R3,2017-04-08,Richmond,West Coast,11.1,8.17,M.C.G.,42523.0,28.9,17.2,0.0
2017R0304,2017,R3,2017-04-08,Geelong,Melbourne,20.6,13.19,Docklands,29733.0,28.9,17.2,0.0
2017R0305,2017,R3,2017-04-08,Fremantle,Western Bulldogs,13.11,10.13,Subiaco,28865.0,23.6,8.7,0.0
2017R0306,2017,R3,2017-04-08,Port Adelaide,Adelaide,12.11,15.1,Adelaide Oval,53698.0,28.6,14.3,0.0
2017R0307,2017,R3,2017-04-09,St Kilda,Brisbane Lions,14.23,11.1,Docklands,23097.0,15.1,10.6,14.2
2017R0308,2017,R3,2017-04-09,Carlton,Essendon,7.15,6.6,M.C.G.,48022.0,15.1,10.6,14.2
2017R0309,2017,R3,2017-04-09,Gold Coast,Hawthorn,21.13,7.11,Carrara,14728.0,26.6,18.4,1.0
2017R0401,2017,R4,2017-04-13,West Coast,Sydney,13.13,10.5,Subiaco,38063.0,26.8,12.9,0.0
2017R0402,2017,R4,2017-04-14,North Melbourne,Western Bulldogs,12.14,12.17,Docklands,42814.0,17.8,11.4,0.0
2017R0403,2017,R4,2017-04-15,Melbourne,Fremantle,15.14,16.1,M.C.G.,27829.0,16.6,10.1,0.0
2017R0404,2017,R4,2017-04-15,Greater Western Sydney,Port Adelaide,16.16,11.15,Manuka Oval,9185.0,20.0,5.5,0.2
2017R0405,2017,R4,2017-04-15,Carlton,Gold Coast,12.1,17.6,Docklands,24968.0,16.6,10.1,0.0
2017R0406,2017,R4,2017-04-15,Adelaide,Essendon,24.9,13.1,Adelaide Oval,47492.0,22.7,8.8,0.0
2017R0407,2017,R4,2017-04-16,Collingwood,St Kilda,7.13,9.15,Docklands,36650.0,22.2,8.6,0.0
2017R0408,2017,R4,2017-04-16,Brisbane Lions,Richmond,10.7,17.17,Gabba,21669.0,26.6,16.4,0.0
